N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"66,400","상승
				400",+0.61%,100,"3,930,640","5,919,638",50.24,"15,687,058",12.86,9.03,
2,SK하이닉스,"269,000","상승
				500",+0.19%,"5,000","1,958,326","728,002",55.13,"3,079,605",7.54,31.06,
3,LG에너지솔루션,"336,500","상승
				3,000",+0.90%,500,"787,410","234,000",4.23,"177,219",-67.65,-4.93,
4,삼성바이오로직스,"1,064,000","상승
				22,000",+2.11%,"2,500","757,291","71,174",12.93,"107,244",59.19,10.45,
5,한화에어로스페이스,"910,000","하락
				12,000",-1.30%,"5,000","469,227","51,563",43.97,"210,911",18.40,53.94,
6,현대차,"222,000","상승
				15,500",+7.51%,"5,000","454,562","204,758",35.85,"2,832,242",4.84,12.43,
7,삼성전자우,"55,100","상승
				300",+0.55%,100,"449,602","815,975",74.09,"1,045,547",10.67,N/A,
8,KB금융,"115,300","상승
				700",+0.61%,"5,000","439,826","381,462",77.80,"834,382",8.00,8.86,
9,기아,"106,100","상승
				8,300",+8.49%,"5,000","421,931","397,673",39.20,"3,318,750",4.53,19.09,
10,두산에너빌리티,"63,400","상승
				800",+1.28%,"5,000","406,116","640,561",23.67,"4,609,170",-398.74,1.52,
11,셀트리온,"179,800","하락
				1,100",-0.61%,"1,000","399,922","222,426",21.46,"374,434",83.20,2.46,
12,NAVER,"231,500","하락
				3,500",-1.49%,100,"366,782","158,437",44.66,"719,824",20.21,7.90,
13,HD현대중공업,"413,000","하락
				3,500",-0.84%,"5,000","366,633","88,773",10.99,"160,242",41.80,11.39,
14,신한지주,"68,100","하락
				100",-0.15%,"5,000","330,622","485,495",60.06,"783,907",7.48,8.11,
15,삼성물산,"170,000","하락
				200",-0.12%,100,"288,960","169,977",27.19,"357,200",13.58,6.83,
16,현대모비스,"299,000","상승
				6,000",+2.05%,"5,000","274,467","91,795",43.50,"260,863",6.59,9.35,
17,POSCO홀딩스,"335,000","상승
				12,000",+3.72%,"5,000","271,125","80,933",29.93,"768,304",32.57,2.00,
18,하나금융지주,"90,800","하락
				400",-0.44%,"5,000","258,529","284,724",67.48,"526,573",6.85,9.11,
19,삼성생명,"129,100","하락
				2,200",-1.68%,500,"258,200","200,000",21.65,"322,909",12.18,6.18,
20,한화오션,"83,500","하락
				2,600",-3.02%,"5,000","255,855","306,413",12.55,"2,031,904",36.93,11.52,
21,HMM,"24,700","상승
				350",+1.44%,"5,000","253,185","1,025,039",6.96,"1,372,846",4.87,15.35,
22,카카오,"55,000","하락
				1,500",-2.65%,100,"243,108","442,014",28.11,"1,861,734",158.96,0.56,
23,한국전력,"37,800","상승
				550",+1.48%,"5,000","242,662","641,964",19.57,"3,425,796",4.61,9.22,
24,HD한국조선해양,"334,500","하락
				3,000",-0.89%,"5,000","236,736","70,773",32.67,"196,917",16.01,11.16,
25,삼성화재,"463,000",보합0,0.00%,500,"213,032","46,011",55.51,"97,802",11.82,13.11,
26,메리츠금융지주,"116,800","하락
				300",-0.26%,500,"210,257","180,014",15.63,"249,806",9.56,23.44,
27,현대로템,"192,500","하락
				600",-0.31%,"5,000","210,099","109,142",31.66,"545,609",41.27,21.85,
28,SK스퀘어,"156,000","하락
				800",-0.51%,100,"206,764","132,541",53.38,"460,621",4.21,21.70,
